"FIRE_NUM,C,25","FIRE_YEAR,N,4,0","RSPNCE_TYP,C,200","IGNITN_DT,D","FIREOUT_DT,D","STATUS,C,30","FIRE_CAUSE,C,10","FIRE_CENTR,N,10,0","ZONE,N,10,0","FIRE_ID,N,10,0","GEOGRAPHIC,C,254","LATITUDE,N,11,4","LONGITUDE,N,11,4","CURRENT_SZ,N,9,3","FIRE_LINK,C,254"
V50055,2023,Full,04/16/2023,04/17/2023,Out,Person,2,5,55,Feather Cove,50.0626,-124.8208,0.002,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V50055
K20046,2023,Monitor,04/15/2023,04/18/2023,Out,Person,5,2,46,Sedge Creek,50.8495,-120.9573,2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20046
K40911,2023,Full,06/24/2023,06/25/2023,Out,Person,5,4,911,9km Posthill Lake Road,49.9981,-119.2835,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K40911
V80793,2023,Full,06/15/2023,06/15/2023,Out,Person,2,8,793,Memekay River,50.2028,-125.7693,0.002,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80793
V80514,2023,Full,05/27/2023,05/28/2023,Out,Person,2,8,514,Friendly Cove,49.5938,-126.629,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80514
K40922,2023,Full,06/25/2023,06/26/2023,Out,Person,5,4,922,Larch Hills Trail,50.7229,-119.1994,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K40922
V10597,2023,,06/03/2023,06/16/2023,Out,Unknown,2,1,597,N of Francis Lake,49.338,-121.8452,0.9,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V10597
V80681,2023,Full,06/08/2023,06/12/2023,Out,Person,2,8,681,Mary Lake,50.1097,-125.4196,0.46,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80681
G70226,2023,Full,01/01/2023,05/24/2023,Out,Person,4,7,226,Pingel Creek,56.0829,-120.708,3.4,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70226
G10065,2023,Full,04/20/2023,04/25/2023,Out,Person,4,1,65,Trapping Creek,53.5533,-122.6301,16.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G10065
G70168,2023,Full,04/30/2023,05/10/2023,Out,Person,4,7,168,South Pouce Coupe River,55.6734,-120.1005,1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70168
V60282,2023,Full,05/11/2023,05/14/2023,Out,Person,2,6,282,Gordon River Main,48.6091,-124.4301,0.7,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V60282
V50257,2023,Full,05/09/2023,05/12/2023,Out,Person,2,5,257,2.5km N of Davie Bay,49.6196,-124.4054,0.05,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V50257
R40749,2023,Full,06/12/2023,06/19/2023,Out,Person,3,4,749,4.5km NE of Keynton Lake,55.2482,-127.7183,0.74,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R40749
N20349,2023,Full,05/16/2023,05/17/2023,Out,Person,6,2,349,Bernais Draw,50.4953,-115.9053,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N20349
K50276,2023,Full,05/12/2023,05/12/2023,Out,Person,5,5,276,Venner Creek,49.8341,-119.7925,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K50276
G70243,2023,Full,05/06/2023,05/09/2023,Out,Person,4,7,243,West Moberley,55.7926,-121.952,1.69,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70243
G10199,2023,Full,05/04/2023,05/04/2023,Out,Person,4,1,199,Ellcott Creek,53.8332,-122.7214,2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G10199
V70519,2023,Full,05/28/2023,05/29/2023,Out,Person,2,7,519,N of Englishman River,49.2242,-124.4323,0.02,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V70519
R50682,2023,,06/08/2023,06/11/2023,Out,Person,3,5,682,W side of Thunderbird Gravel Pit,54.4479,-128.5922,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R50682
C30362,2023,Full,05/18/2023,05/21/2023,Out,Person,7,3,362,SW of Gammarus Lake,52.2944,-121.4431,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C30362
R50707,2023,Full,06/10/2023,06/12/2023,Out,Person,3,5,707,Steinhoe Creek,54.5359,-128.5502,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R50707
V60840,2023,Full,06/22/2023,06/22/2023,Out,Person,2,6,840,Bonanza Bluffs,48.6715,-123.6606,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V60840
V80829,2023,Full,06/20/2023,06/29/2023,Out,Person,2,8,829,Mozino Point,49.8649,-126.6741,0.04,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80829
K50729,2023,Full,06/11/2023,06/16/2023,Out,Person,5,5,729,3.5 Km Bear Creek,49.9387,-119.5279,0.7,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K50729
N61080,2023,Full,07/02/2023,07/02/2023,Out,Person,6,6,1080,Belchrome FSR,49.1164,-119.151,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N61080
K60127,2023,Full,04/29/2023,05/05/2023,Out,Person,5,6,127,Snake Road,50.1469,-120.8489,38.65,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K60127
C50014,2023,Monitor,04/06/2023,04/24/2023,Out,Person,7,5,14,W of Tsuniah Lake,51.5213,-124.1623,2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C50014
K60049,2023,Full,04/16/2023,04/18/2023,Out,Person,5,6,49,South of Stirling Creek,50.0423,-120.8439,0.9,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K60049
G40299,2023,Full,05/13/2023,05/15/2023,Out,Person,4,4,299,Leona Creek,53.9844,-123.825,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G40299
K20028,2023,Full,04/14/2023,04/14/2023,Out,Person,5,2,28,Wolsey Road,51.1721,-120.1481,0.124,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20028
V60605,2023,Full,06/04/2023,06/04/2023,Out,Unknown,2,6,605,N of Stocking Creek,48.9542,-123.8117,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V60605
V80888,2023,Full,06/24/2023,06/26/2023,Out,Person,2,8,888,Lukwa Lake,49.9648,-125.437,0.45,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80888
V80494,2023,Full,05/21/2023,05/23/2023,Out,Person,2,8,494,Village Bay Lake,50.1903,-125.2015,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V80494
C50072,2023,Modified,04/21/2023,05/02/2023,Out,Person,7,5,72,W of Taseko Lake Road,51.8913,-123.2319,47.76,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C50072
K20012,2023,Full,04/05/2023,04/05/2023,Out,Person,5,2,12,Orchard Road,51.0021,-120.2217,0.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20012
C40109,2023,Full,04/28/2023,05/10/2023,Out,Person,7,4,109,N of Fiftyseven Creek,51.2228,-121.5611,10.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C40109
C40056,2023,Full,04/17/2023,04/21/2023,Out,Person,7,4,56,N of Bridge Creek,51.6071,-121.2255,1.03,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C40056
C40128,2023,Full,04/29/2023,05/11/2023,Out,Person,7,4,128,S of Lost Valley Road,51.3709,-120.9989,113,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C40128
V30104,2023,Full,04/27/2023,05/01/2023,Out,Person,2,3,104,Lillooet Lake Road,50.3125,-122.6772,0.3,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V30104
G10137,2023,Full,04/29/2023,04/29/2023,Out,Person,4,1,137,Salmon Valley Rd.,54.0894,-122.5859,0.62,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G10137
C40147,2023,Full,04/30/2023,05/02/2023,Out,Person,7,4,147,SW of Komori Road,51.3067,-121.3799,3.78,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C40147
C40022,2023,Full,04/08/2023,04/09/2023,Out,Unknown,7,4,22,103 Mile,51.6791,-121.2993,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C40022
N10165,2023,Full,05/01/2023,05/10/2023,Out,Person,6,1,165,Red Canyon Creek,49.1428,-115.1008,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N10165
V30013,2023,Full,04/05/2023,04/13/2023,Out,Person,2,3,13,Cataline Creek,50.2611,-122.5057,0.7,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V30013
G70116,2023,Full,04/28/2023,05/09/2023,Out,Person,4,7,116,E of Pingel Creek,56.0751,-120.6886,9.76,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70116
G80285,2023,Full,05/13/2023,05/20/2023,Out,Person,4,8,285,Donis Road,56.3482,-121.1924,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80285
G80190,2023,Full,05/03/2023,05/29/2023,Out,Person,4,8,190,Coffee Creek,56.3376,-121.1013,89,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80190
C40115,2023,Modified,04/27/2023,05/02/2023,Out,Person,7,4,115,W of Roe Lake Crescent,51.518,-120.8383,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C40115
G80175,2023,Full,05/02/2023,,Under Control,Person,4,8,175,West of Cameron River,56.5319,-121.9246,385,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80175
R10460,2023,Monitor,05/20/2023,05/21/2023,Out,Person,3,1,460,Eagle Creek Rd,54.2426,-125.7928,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R10460
R30084,2023,Full,04/24/2023,04/25/2023,Out,Person,3,3,84,0.5km N of Hudson Ave,54.7099,-127.0563,3.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R30084
C50039,2023,Full,04/15/2023,04/21/2023,Out,Person,7,5,39,W of Anahim West End Road,52.0427,-123.2098,18.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C50039
G40156,2023,Full,04/30/2023,05/01/2023,Out,Person,4,4,156,Leona Creek,53.9847,-123.825,0.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G40156
K70092,2023,Full,04/26/2023,05/11/2023,Out,Person,5,7,92,Cadwallader Creek,50.762,-122.7832,7.7,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K70092
K20034,2023,Full,04/14/2023,04/18/2023,Out,Person,5,2,34,West of Kamloops Shuswap Road,50.7802,-119.732,11.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20034
N10149,2023,Full,04/30/2023,04/30/2023,Out,Person,6,1,149,Eager Hill,49.602,-115.6642,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N10149
K60634,2023,Full,06/05/2023,06/08/2023,Out,Person,5,6,634,Nicola Lake,50.2396,-120.4576,7.62,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K60634
R50524,2023,Full,05/28/2023,05/30/2023,Out,Person,3,5,524,100m E of Kitsumkalum Lake,54.7485,-128.7725,0.83,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R50524
G80561,2023,Full,06/01/2023,06/03/2023,Out,Person,4,8,561,Bear Flats,56.2846,-121.2233,3.6,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80561
G40698,2023,Full,06/09/2023,06/12/2023,Out,Person,4,4,698,Stella Road,54.0994,-124.8156,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G40698
G10411,2023,Full,05/19/2023,06/12/2023,Out,Lightning,4,1,411,Narrow Lake,53.5568,-121.7668,55,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G10411
N10492,2023,Full,05/21/2023,05/23/2023,Out,Lightning,6,1,492,Edwards Lake,49.0933,-115.1216,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N10492
K20721,2023,Full,06/10/2023,06/11/2023,Out,Lightning,5,2,721,Gorman Lake FSR,51.1964,-120.2057,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20721
G30551,2023,Full,05/31/2023,06/02/2023,Out,Lightning,4,3,551,Paradise Falls,52.68,-119.0707,0.04,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G30551
C40393,2023,Full,05/18/2023,05/20/2023,Out,Lightning,7,4,393,W of Murphy Lake,52.0504,-121.3111,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C40393
N50764,2023,Full,06/13/2023,06/14/2023,Out,Lightning,6,5,764,Idaho Peak,49.9686,-117.3509,0.07,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N50764
C51249,2023,Full,07/07/2023,07/09/2023,Out,Lightning,7,5,1249,W of Horn Lake,51.7948,-124.7183,0.4,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C51249
N51601,2023,Full,07/12/2023,07/13/2023,Out,Lightning,6,5,1601,Langill Creek,49.4781,-117.5983,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N51601
N60692,2023,Full,06/08/2023,06/09/2023,Out,Lightning,6,6,692,Treadmill Creek South,49.1381,-118.2798,0.015,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N60692
C41129,2023,Full,06/29/2023,07/07/2023,Out,Lightning,7,4,1129,2.1km S of Enterprise Lake,51.713,-121.5717,1.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C41129
N60891,2023,Full,06/24/2023,06/25/2023,Out,Lightning,6,6,891,Baker Creek,49.0871,-118.1843,0.02,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N60891
G61547,2023,Full,07/11/2023,07/12/2023,Out,Lightning,4,6,1547,McDougall River,54.9632,-123.3683,0.04,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G61547
G80848,2023,Full,06/23/2023,06/24/2023,Out,Lightning,4,8,848,West of Cameron River,56.9137,-122.5922,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G80848
G30728,2023,Full,06/10/2023,06/14/2023,Out,Lightning,4,3,728,Peddie Creek,52.0735,-119.3624,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G30728
N41077,2023,Full,07/01/2023,07/06/2023,Out,Lightning,6,4,1077,Encampment Creek,52.1328,-118.4882,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N41077
C10439,2023,Full,05/20/2023,05/24/2023,Out,Lightning,7,1,439,9km E of Trout Lake,53.161,-123.3878,1.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C10439
C40874,2023,Full,06/24/2023,06/26/2023,Out,Lightning,7,4,874,S Schoolhouse Lake,51.8605,-120.9781,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C40874
N50518,2023,Full,05/27/2023,05/29/2023,Out,Lightning,6,5,518,Sentinel Mountain,49.3723,-117.575,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N50518
G11161,2023,Full,07/06/2023,07/09/2023,Out,Lightning,4,1,1161,Hammett Creek,54.8859,-122.982,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G11161
C40385,2023,Full,05/18/2023,05/20/2023,Out,Lightning,7,4,385,N of Eagle Lake,52.074,-121.3004,0.04,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C40385
K21444,2023,Full,07/09/2023,07/11/2023,Out,Lightning,5,2,1444,Mt. Leslie,50.9998,-120.0222,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21444
K21383,2023,Modified,07/08/2023,07/11/2023,Out,Lightning,5,2,1383,Kostel Lake,52.143,-119.994,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21383
G10986,2023,Full,06/28/2023,06/30/2023,Out,Lightning,4,1,986,Table River,54.6799,-122.2096,0.3,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G10986
G10836,2023,Full,06/21/2023,06/22/2023,Out,Lightning,4,1,836,White Landing Road,53.371,-122.6454,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G10836
G70451,2023,Full,05/20/2023,05/20/2023,Out,Lightning,4,7,451,Wapiti River,54.7558,-120.0287,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70451
R41632,2023,Full,07/12/2023,07/22/2023,Out,Lightning,3,4,1632,Cataline Creek,55.5451,-127.0774,0.16,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R41632
C10382,2023,Full,05/18/2023,05/29/2023,Out,Lightning,7,1,382,1.2 km W of Heyde Creek,53.0758,-121.8475,74,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C10382
C40384,2023,Full,05/17/2023,06/15/2023,Out,Lightning,7,4,384,5.3km S of Emerald Lake,51.6366,-121.9257,536,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C40384
C40478,2023,Full,05/21/2023,05/21/2023,Out,Lightning,7,4,478,E of Lily Pad Lake,51.7258,-121.3979,0.01,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C40478
C30573,2023,Full,05/21/2023,06/05/2023,Out,Lightning,7,3,573,1km E of Niagara Creek,52.6852,-120.4642,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C30573
K20725,2023,Full,06/10/2023,06/11/2023,Out,Lightning,5,2,725,Long Lake 2,50.776,-120.3833,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20725
K20751,2023,Full,06/10/2023,06/13/2023,Out,Lightning,5,2,751,Badger Lake,51.0111,-120.1454,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20751
G30664,2023,Full,05/18/2023,06/14/2023,Out,Lightning,4,3,664,Mica Mountain,52.8601,-119.388,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G30664
G30612,2023,Full,06/04/2023,,Under Control,Lightning,4,3,612,Lempiere Creek,52.3739,-119.3284,277,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G30612
C41137,2023,Full,07/03/2023,07/05/2023,Out,Lightning,7,4,1137,SE of Roundup Lake,51.7175,-121.1949,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C41137
N40596,2023,Modified,05/20/2023,,Under Control,Lightning,6,4,596,Soards Creek,52.0451,-118.7021,1138.93,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N40596
K50624,2023,Full,06/01/2023,06/30/2023,Out,Lightning,5,5,624,Pigeon Creek,49.8203,-119.7892,33,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K50624
K21587,2023,Full,07/10/2023,07/12/2023,Out,Lightning,5,2,1587,Caverhill Lake,51.3347,-120.3688,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21587
K41197,2023,Full,07/05/2023,07/09/2023,Out,Lightning,5,4,1197,Salmon River,50.3493,-119.9843,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K41197
C41070,2023,Full,06/28/2023,07/03/2023,Out,Lightning,7,4,1070,1.6km NW of Upper Lake,51.7776,-121.2159,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C41070
K20469,2023,Modified,05/17/2023,,Under Control,Lightning,5,2,469,Murtle Lake,52.1381,-119.5694,1270,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20469
C10418,2023,Full,05/18/2023,05/20/2023,Out,Lightning,7,1,418,1.2km N of Wingdam Lake,53.037,-121.9613,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C10418
K21591,2023,Full,07/12/2023,07/12/2023,Out,Lightning,5,2,1591,Henderson Creek,50.8777,-119.9413,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21591
G90727,2023,Full,06/11/2023,06/12/2023,Out,Lightning,4,9,727,5km SW of Ella Creek,58.4276,-121.5017,3.5,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90727
G90631,2023,Full,06/04/2023,06/05/2023,Out,Lightning,4,9,631,10km North of Kotcho lake,59.2162,-121.2438,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90631
K21382,2023,Modified,07/08/2023,07/13/2023,Out,Lightning,5,2,1382,Majerus Lake,52.1472,-120.0256,350,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21382
C41556,2023,Full,07/09/2023,07/12/2023,Out,Lightning,7,4,1556,3.4km N of Kellington Lake,51.9615,-120.7466,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C41556
G91133,2023,Full,06/04/2023,07/05/2023,Out,Lightning,4,9,1133,Emil Creek,59.8236,-122.8368,2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91133
K20716,2023,Full,06/10/2023,06/10/2023,Out,Lightning,5,2,716,Gibraltar Rock,50.7425,-120.1337,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K20716
K21628,2023,Full,07/12/2023,,Under Control,Lightning,5,2,1628,Devick Lake,50.8792,-120.0436,0.55,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21628
G70869,2023,Full,06/24/2023,06/26/2023,Out,Lightning,4,7,869,Brenot Creek,56.1159,-121.9223,0.43,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G70869
K21139,2023,Full,07/01/2023,07/06/2023,Out,Lightning,5,2,1139,Crystal Cataract,52.4113,-120.0243,0.15,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21139
N50604,2023,Full,06/01/2023,06/05/2023,Out,Lightning,6,5,604,Mount Sentinel,49.338,-117.6151,0.025,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N50604
N40941,2023,Full,06/24/2023,06/28/2023,Out,Lightning,6,4,941,Beaver River,51.5388,-117.4625,0.01,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N40941
G41108,2023,Full,07/03/2023,07/04/2023,Out,Lightning,4,4,1108,Chilako River,53.5357,-123.5209,0.08,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G41108
V81814,2023,Full,07/17/2023,07/18/2023,Out,Lightning,2,8,1814,E Amor De Cosmos Creek,50.3323,-125.6251,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V81814
C41520,2023,Full,07/10/2023,07/11/2023,Out,Lightning,7,4,1520,S of Roundup Lake,51.718,-121.1953,0.15,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C41520
K21008,2023,Full,06/29/2023,07/04/2023,Out,Lightning,5,2,1008,Burton Creek,51.5152,-119.5108,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K21008
G81730,2023,Full,06/16/2023,07/19/2023,Out,Lightning,4,8,1730,Nettel Creek,58.0408,-121.244,50,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G81730
G30379,2023,Full,05/18/2023,05/25/2023,Out,Lightning,4,3,379,Robson River,53.0379,-119.2765,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G30379
N10879,2023,Full,06/24/2023,07/05/2023,Out,Lightning,6,1,879,Fitzpatrick Rd,49.1882,-115.1839,4.12,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N10879
G31827,2023,Full,07/17/2023,07/18/2023,Out,Lightning,4,3,1827,Allen Creek,52.5434,-119.11,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G31827
G91026,2023,Full,06/30/2023,07/01/2023,Out,Lightning,4,9,1026,Kotcho,59.0187,-121.1252,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G91026
N10769,2023,Full,06/11/2023,06/16/2023,Out,Lightning,6,1,769,New Lake,49.5313,-115.8325,0.3,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N10769
G90967,2023,Full,06/28/2023,06/30/2023,Out,Lightning,4,9,967,5KM N Odelyn Creek,59.1031,-124.0682,0.4,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90967
C50899,2023,Full,06/24/2023,06/27/2023,Out,Lightning,7,5,899,1.8km E of Lehman Creek,52.6068,-124.9317,2.9,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=C50899
N70971,2023,Full,06/28/2023,06/28/2023,Out,Lightning,6,7,971,Giveout Creek,49.4564,-117.2991,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N70971
