"FIRE_NUM,C,25","FIRE_YEAR,N,4,0","RSPNCE_TYP,C,200","IGNITN_DT,D","FIREOUT_DT,D","STATUS,C,30","FIRE_CAUSE,C,10","FIRE_CENTR,N,10,0","ZONE,N,10,0","FIRE_ID,N,10,0","GEOGRAPHIC,C,254","LATITUDE,N,11,4","LONGITUDE,N,11,4","CURRENT_SZ,N,9,3","FIRE_LINK,C,254"
G90946,2023,Monitor,06/27/2023,,Out of Control,Lightning,4,9,946,Kotcho Lake,59.1354,-120.9875,4630.13,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G90946
V30920,2023,Full,06/26/2023,06/29/2023,Out,Lightning,2,3,920,Carol Creek,50.0991,-123.408,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V30920
G92039,2023,Full,07/21/2023,,Out of Control,Lightning,4,9,2039,Kledo Creek,58.8388,-123.5821,72,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G92039
K41928,2023,,07/20/2023,,Under Control,Lightning,5,4,1928,Mt. Grace,51.4637,-118.8528,0.2,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K41928
G12142,2023,,07/22/2023,,Out of Control,Lightning,4,1,2142,2km North of Raven Lake,53.7819,-121.5664,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G12142
N11698,2023,,07/14/2023,07/15/2023,Out,Person,6,1,1698,West of Maguire Creek,49.1514,-115.1259,0.1,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N11698
N11498,2023,,07/10/2023,,Under Control,Person,6,1,1498,Willie Phillips Creek,49.0823,-115.1016,0.8,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N11498
N11299,2023,Full,07/08/2023,07/11/2023,Out,Lightning,6,1,1299,Bull River FSR,49.4789,-115.418,0.3,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=N11299
G42010,2023,Full,07/21/2023,07/22/2023,Out,Lightning,4,4,2010,Coppley Lake,53.7635,-124.81,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=G42010
V30293,2023,Monitor,05/13/2023,06/29/2023,Out,Person,2,3,293,20 km Squamish Valley FSR,50.0628,-123.3313,38,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=V30293
R11505,2023,Full,07/10/2023,07/10/2023,Out,Lightning,3,1,1505,2 KM East of Lucas Lake,53.5883,-125.0908,0.009,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=R11505
K52001,2023,,07/21/2023,,Being Held,Lightning,5,5,2001,Pitin Creek,49.822,-120.1728,0.4,https://wildfiresituation.nrs.gov.bc.ca/incidents?fireYear=2023&incidentNumber=K52001
