Year,latitude,longitude,Size
2015,49.91545,-121.88941666666666,2985.0
2015,49.46843333333333,-121.25475,7.7
2015,49.4618,-121.87271666666666,1386.0
2015,50.21095,-123.5291,5.7
2015,50.377516666666665,-123.55571666666667,12495.0
2015,50.67865,-123.3676,6735.0
2015,49.97116666666667,-123.67828333333334,16.0
2015,49.521116666666664,-123.81501666666666,423.0
2015,49.74916666666667,-123.50851666666667,30.0
2015,48.4686,-123.90256666666667,5.9
2015,48.809333333333335,-123.94235,16.0
2015,48.82515,-123.84865,9.7
2015,48.628166666666665,-124.23861666666667,400.0
2015,49.058166666666665,-123.84005,18.0
2015,49.258716666666665,-124.98471666666667,450.0
2015,50.72943333333333,-127.52558333333333,17.0
2015,53.58206666666667,-126.7233,437.0
2015,54.78585,-127.19576666666667,5.0
2015,53.038866666666664,-127.45845,1159.3
2015,56.15808333333333,-129.03658333333334,8.2
2015,53.31475,-128.42698333333334,142.3
2015,58.8242,-132.92678333333333,700.0
2015,59.491816666666665,-128.57801666666666,15000.0
2015,58.789766666666665,-133.1703,8743.0
2015,59.262283333333336,-132.44986666666668,4070.0
2015,57.8182,-130.42626666666666,12.0
2015,59.91145,-134.02101666666667,23.0
2015,53.69085,-123.4334,25000.0
2015,53.90185,-122.95826666666666,6.0
2015,54.93998333333333,-122.25281666666666,6.1
2015,54.09125,-120.32341666666667,440.0
2015,53.84866666666667,-121.39441666666667,54.0
2015,53.49921666666667,-123.22411666666666,11.85
2015,52.992383333333336,-119.3112,29.7
2015,53.27975,-120.09561666666667,50.0
2015,53.54108333333333,-123.75316666666667,420.0
2015,54.70141666666667,-124.79763333333334,6.1
2015,54.76395,-124.84853333333334,6.7
2015,55.392966666666666,-124.09916666666666,44.0
2015,57.26555,-125.1075,37.5
2015,55.96338333333333,-123.77223333333333,31.0
2015,58.22305,-126.86905,12845.0
2015,58.20166666666667,-125.77655,1626.5
2015,56.36665,-123.86666666666666,5340.0
2015,55.88346666666666,-120.79755,44.0
2015,55.68105,-121.66718333333333,8.6
2015,55.19795,-120.27381666666666,15.0
2015,55.28816666666667,-121.7375,6.5
2015,55.150333333333336,-121.49546666666667,5.6
2015,56.27526666666667,-121.20433333333334,28.5
2015,56.23945,-121.06265,38.0
2015,57.61781666666667,-121.19048333333333,545.0
2015,58.234833333333334,-120.47498333333333,19.0
2015,57.52668333333333,-121.41528333333333,41.0
2015,57.96066666666667,-121.50931666666666,905.0
2015,57.85965,-120.98233333333333,12.0
2015,57.8946,-120.01635,81.0
2015,56.88153333333333,-121.5127,7.8
2015,57.904666666666664,-120.153,20000.0
2015,57.69716666666667,-121.36216666666667,20.0
2015,57.552416666666666,-121.1796,20.0
2015,57.74151666666667,-122.73623333333333,15.0
2015,58.24948333333333,-121.4477,47.0
2015,59.74755,-124.29725,139.2
2015,58.065,-122.46833333333333,1966.8
2015,58.79833333333333,-120.8445,38.4
2015,59.2895,-122.91483333333333,5.2
2015,59.40133333333333,-121.1278,25.3
2015,58.960033333333335,-124.29683333333334,18070.6
2015,59.07808333333333,-120.02528333333333,393.8
2015,59.5177,-127.8654,35327.7
2015,59.5636,-125.28,305.8
2015,59.43188333333333,-121.16731666666666,946.7
2015,58.98778333333333,-124.99528333333333,223.7
2015,58.29833333333333,-123.22833333333334,61.8
2015,59.670116666666665,-121.07233333333333,7.1
2015,59.355266666666665,-121.08305,207.0
2015,59.62838333333333,-121.42043333333334,4175.6
2015,59.45778333333333,-120.74721666666667,22.5
2015,59.563,-121.5055,5.5
2015,59.63218333333333,-126.69225,366.4
2015,59.69035,-120.8206,2204.6
2015,59.77343333333334,-121.00456666666666,1280.4
2015,59.8536,-121.34088333333334,13498.6
2015,59.63511666666667,-120.0221,6254.2
2015,59.18448333333333,-122.36458333333333,1047.0
2015,59.527166666666666,-121.22331666666666,22.0
2015,59.25805,-121.62,27.2
2015,59.233333333333334,-120.00001666666667,1918.3
2015,58.07966666666667,-121.95748333333333,2421.1
2015,58.742783333333335,-123.12416666666667,3994.4
2015,58.98505,-122.02691666666666,1399.4
2015,59.0994,-121.56376666666667,39.3
2015,59.76685,-120.33956666666667,3151.8
2015,58.709516666666666,-122.01263333333333,36.0
2015,59.67755,-124.44663333333334,2395.6
2015,59.8586,-124.41916666666667,26.6
2015,58.71066666666667,-122.96101666666667,9.4
2015,59.3511,-125.60945,343.4
2015,58.3245,-122.75415,7803.8
2015,59.980066666666666,-127.43526666666666,10827.3
2015,58.41416666666667,-121.4086,307.0
2015,51.711166666666664,-119.71803333333334,66.2
2015,51.6057,-119.74475,5.8
2015,52.47545,-119.81336666666667,30.7
2015,51.66843333333333,-119.45395,32.0
2015,51.470333333333336,-119.47633333333333,21.0
2015,52.0703,-119.5145,21.0
2015,50.60615,-121.3339,39.5
2015,51.1669,-120.27175,25.0
2015,50.89083333333333,-121.42233333333333,7.2
2015,50.58625,-121.22621666666667,230.0
2015,50.39703333333333,-120.40378333333334,235.0
2015,50.5269,-119.56713333333333,348.0
2015,49.01526666666667,-119.73013333333333,100.0
2015,49.1534,-120.02005,13.2
2015,49.109516666666664,-119.76603333333334,70.0
2015,49.0471,-119.4198,20.0
2015,49.00321666666667,-119.90526666666666,588.0
2015,49.858333333333334,-119.26465,55.0
2015,49.15291666666667,-120.2044,147.0
2015,50.045966666666665,-119.5099,460.0
2015,49.201166666666666,-119.58953333333334,130.0
2015,49.0,-119.26955,50.0
2015,49.12275,-119.62355,5202.0
2015,49.201283333333336,-119.57155,317.0
2015,49.76665,-119.80131666666666,6.0
